"family","subfamily","genus","species","temp.median"
"Hesperiidae","Pyrginae","Pyrgus","Pyrgus_andromedae",4.89
"Lycaenidae","Polyommatinae","Eumedonia","Eumedonia_eumedon",5.94
"Lycaenidae","Polyommatinae","Plebejus","Plebejus_idas",7.47
"Papilionidae","Parnassiinae","Parnassius","Parnassius_apollo",8.23
"Nymphalidae","Nymphalinae","Aglais","Aglais_urticae",8.473
"Pieridae","Pierinae","Anthocharis","Anthocharis_cardamines",8.63
"Hesperiidae","Hesperiinae","Ochlodes","Ochlodes_sylvanus",8.73
"Pieridae","Coliadinae","Gonepteryx","Gonepteryx_rhamni",8.81
"Lycaenidae","Polyommatinae","Polyommatus","Polyommatus_icarus",8.844
"Nymphalidae","Nymphalinae","Vanessa","Vanessa_atalanta",8.92
"Lycaenidae","Lycaeninae","Lycaena","Lycaena_phlaeas",9.09
"Riodinidae","Nemeobiinae","Hamearis","Hamearis_lucina",9.27
"Nymphalidae","Nymphalinae","Euphydryas","Euphydryas_aurinia",9.39
"Pieridae","Coliadinae","Colias","Colias_crocea",10.16
"Nymphalidae","Heliconiinae","Brenthis","Brenthis_daphne",10.76
"Hesperiidae","Pyrginae","Carcharodus","Carcharodus_alceae",10.774
"Hesperiidae","Pyrginae","Spialia","Spialia_orbifer",12.09
"Nymphalidae","Nymphalinae","Melitaea","Melitaea_deione",12.34
"Pieridae","Pierinae","Euchloe","Euchloe_tagis",13.5
"Papilionidae","Parnassiinae","Zerynthia","Zerynthia_cassandra",13.689
"Papilionidae","Papilioninae","Iphiclides","Iphiclides_feisthamelii",14.379
"Pieridae","Pierinae","Colotis","Colotis_evagore",14.94
"Lycaenidae","Polyommatinae","Zizeeria","Zizeeria_knysna",15.898
"Nymphalidae","Danainae","Danaus","Danaus_plexippus",16.45
